

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0107B.OP7     Stage 2 calibration 0107B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0107B    |0107B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
2001        0    189088 | - NA - 

TERMINAL RUN CALIBRATION FOR FRE
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0107B    |0107B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979   104568     94654 |   0.905
1980    68973     78417 |   1.137
1981    64315     71103 |   1.106
1982    81206     75859 |   0.934
1983    72672     80368 |   1.106
1984    93287     99293 |   1.064
1985   122149    115827 |   0.948
1986   144836    130161 |   0.899
1987   128095    129932 |   1.014
1988   129394    127295 |   0.984
1989   101605    113524 |   1.117
1990   129910    118175 |   0.910
1991   110503    109110 |   0.987
1992    93570    101135 |   1.081
1993    89587    100906 |   1.126
1994   126656    108139 |   0.854
1995   110200    124744 |   1.132
1996   160600    152829 |   0.952
1997   167100    153005 |   0.916
1998   150500    141990 |   0.943
1999   105500    122776 |   1.164
2000   116750    122691 |   1.051
2001        0    122333 | - NA - 

TERMINAL RUN CALIBRATION FOR RBH+RBT
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0107B    |0107B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979   107087     76324 |   0.713
1980    90652    118579 |   1.308
1981    97533     82446 |   0.845
1982   150701    154687 |   1.026
1983   151745    137223 |   0.904
1984   155546    167612 |   1.078
1985   131030    129441 |   0.988
1986    77107     81605 |   1.058
1987   100040    110134 |   1.101
1988   166674    157937 |   0.948
1989   222590    221868 |   0.997
1990   254204    260973 |   1.027
1991   360656    346856 |   0.962
1992   293617    280228 |   0.954
1993   338375    302144 |   0.893
1994   186849    221117 |   1.183
1995    62390    107758 |   1.727
1996    85412     85773 |   1.004
1997   145202    159473 |   1.098
1998   184420    182770 |   0.991
1999    98410     75772 |   0.770
2000    37090     33624 |   0.907
2001    30633     33702 |   1.100

TERMINAL RUN CALIBRATION FOR GSH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0107B    |0107B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    13290     15627 |   1.176
1980    13001     13883 |   1.068
1981    11430      9477 |   0.829
1982    10125      9591 |   0.947
1983    10871     10892 |   1.002
1984    14140     11309 |   0.800
1985    17376     19273 |   1.109
1986    15077     15822 |   1.049
1987    11423     12228 |   1.070
1988     7457      7715 |   1.035
1989    12899     12248 |   0.950
1990    13317     15173 |   1.139
1991    14561     17801 |   1.223
1992    15185     13830 |   0.911
1993    15192     10065 |   0.663
1994    14206     11981 |   0.843
1995     9198     16723 |   1.818
1996    18647     18618 |   0.998
1997    29331     21036 |   0.717
1998    20655     20274 |   0.982
1999    23527     22378 |   0.951
2000    20286     25244 |   1.244
2001        0     17547 | - NA - 

TERMINAL RUN CALIBRATION FOR NKF
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0107B    |0107B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    82790     91655 |   1.107
1980   113292    100902 |   0.891
1981    90282    100030 |   1.108
1982   111772    100899 |   0.903
1983    83361    109084 |   1.309
1984   133521    114181 |   0.855
1985   136902    128864 |   0.941
1986   111231    104730 |   0.942
1987    67749     76564 |   1.130
1988    50918     62549 |   1.228
1989    75652     77330 |   1.022
1990   105152     81332 |   0.773
1991    41085     52639 |   1.281
1992    27703     34597 |   1.249
1993    36504     30416 |   0.833
1994    29073     29077 |   1.000
1995    22673     26124 |   1.152
1996    30165     28299 |   0.938
1997    35576     31530 |   0.886
1998    29807     34075 |   1.143
1999    41186     34825 |   0.846
2000    24000     33179 |   1.382
2001    36450     33974 |   0.932

TERMINAL RUN CALIBRATION FOR PSF+PSY
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0107B    |0107B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    53050     62928 |   1.186
1980    67691     66112 |   0.977
1981    75073     65617 |   0.874
1982    50039     58300 |   1.165
1983    56512     64110 |   1.134
1984    77796     64683 |   0.831
1985    62493     65171 |   1.043
1986    60276     62656 |   1.039
1987    71909     73918 |   1.028
1988    79297     81443 |   1.027
