

CATCH COMPARISONS
******************
OPTION FILE   DESCRIPTION
===========   ==============================================
0308B.OP7     Stage 2 calibration 0308B




CEILINGS SPECIFIED FOR Alaska T
Catch level comparison

      Actual   0308B    |0308B   
Year   Catch    MDL Cat | Compare
==== ========  ======== |========
2000    20050     23039 |   1.149
2001    18900     20286 |   1.073
2002    21477     23294 |   1.085
2003    26600     25743 |   0.968

TERMINAL RUN CALIBRATION FOR SKG
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0308B    |0308B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    24124     26345 |   1.092
1980    30887     29763 |   0.964
1981    21430     24016 |   1.121
1982    24053     21627 |   0.899
1983    15270     14941 |   0.978
1984    15764     18152 |   1.151
1985    25891     28579 |   1.104
1986    22541     19352 |   0.859
1987    13344     13007 |   0.975
1988    14984     15806 |   1.055
1989    13391     15718 |   1.174
1990    19381     15935 |   0.822
1991     8564      9898 |   1.156
1992     9114      8086 |   0.887
1993     6926      6482 |   0.936
1994     6189      7424 |   1.200
1995     9573      9039 |   0.944
1996    11768      8639 |   0.734
1997     5931     10787 |   1.819
1998    14541     10484 |   0.721
1999     4924      8606 |   1.748
2000    16843     15542 |   0.923
2001    14005     14842 |   1.060
2002    19807     15081 |   0.761
2003    11348     11906 |   1.049

TERMINAL RUN CALIBRATION FOR SNO
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0308B    |0308B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    13583     14647 |   1.078
1980    17616     14366 |   0.816
1981     9776     11651 |   1.192
1982     9112     10074 |   1.106
1983    11052      9945 |   0.900
1984     8819      9319 |   1.057
1985     9352      9025 |   0.965
1986     8664      8429 |   0.973
1987     6967      7597 |   1.090
1988     7744      7234 |   0.934
1989     6263      7160 |   1.143
1990     8437      6941 |   0.823
1991     5046      5785 |   1.146
1992     4355      4961 |   1.139
1993     5498      4945 |   0.899
1994     5017      4657 |   0.928
1995     3358      4156 |   1.238
1996     4869      4456 |   0.915
1997     4408      4859 |   1.102
1998     6364      5471 |   0.860
1999     4832      5514 |   1.141
2000     6000      5748 |   0.958
2001     5760      6079 |   1.055
2002     7245      6539 |   0.903
2003     5450      6033 |   1.107

TERMINAL RUN CALIBRATION FOR WCH
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0308B    |0308B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    24200     26576 |   1.098
1980    31280     26351 |   0.842
1981    23049     23414 |   1.016
1982    19078     20071 |   1.052
1983    15164     18354 |   1.210
1984    21608     19757 |   0.914
1985    22278     22721 |   1.020
1986    23768     31272 |   1.316
1987    44661     46603 |   1.043
1988    78721     64301 |   0.817
1989    77163     66754 |   0.865
1990    47813     60216 |   1.259
1991    51599     56775 |   1.100
1992    68650     60414 |   0.880
1993    60805     58176 |   0.957
1994    47047     51152 |   1.087
1995    51450     49628 |   0.965
1996    57841     48676 |   0.842
1997    23656     34059 |   1.440
1998    24262     23225 |   0.957
1999    13244     19366 |   1.462
2000    22736     20064 |   0.882
2001    22859     22250 |   0.973
2002    21351     21596 |   1.011
2003    18222     20755 |   1.139

TERMINAL RUN CALIBRATION FOR URB
----------------------------------------------
COMPARISON FOR ADULTS ONLY

       Calib   0308B    |0308B   
Year   Specs    TRM Run | Compare
==== ========  ======== |========
1979    89200     87741 |   0.984
1980    76800     81054 |   1.055
