"year","stock","fishery","age","preTerm catch","Term catch","preterm shakers","term shakers","preterm legal dropoffs","term legal dropoffs","preterm sublegal dropoffs","term sublegal dropoffs","preterm CNRlegal","term CNRlegal","preterm CNRlegal dropoffs","term CNRlegal dropoffs","preterm CNRsublegal","term CNRsublegal","preterm CNRsublegal dropoffs","term CNRsublegal dropoffs"
1979,7,1,4,0,0,0.44,0,0,0,0.01,0,0,0,0,0,0,0,0,0
1979,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,4,2,0,0,52.08,0,0,0,3.47,0,0,0,0,0,0,0,0,0
1979,7,4,3,49.42,0,39.27,0,0.84,0,2.62,0,0,0,0,0,0,0,0,0
1979,7,4,4,0,0,0.49,0,0,0,0.03,0,0,0,0,0,0,0,0,0
1979,7,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,7,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,8,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,1,2,0,0,550.3,0,0,0,17.26,0,0,0,0,0,0,0,0,0
1979,9,1,3,422.52,0,386.21,0,3.38,0,12.12,0,0,0,0,0,0,0,0,0
1979,9,1,4,13063.51,0,33.26,0,104.51,0,1.04,0,0,0,0,0,0,0,0,0
1979,9,1,5,633.81,0,0.33,0,5.07,0,0.01,0,0,0,0,0,0,0,0,0
1979,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,4,2,0,0,172.09,0,0,0,11.47,0,0,0,0,0,0,0,0,0
1979,9,4,3,356.12,0,107.91,0,6.05,0,7.19,0,0,0,0,0,0,0,0,0
1979,9,4,4,3987.63,0,36.74,0,67.79,0,2.45,0,0,0,0,0,0,0,0,0
1979,9,4,5,119.12,0,0.26,0,2.03,0,0.02,0,0,0,0,0,0,0,0,0
1979,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,9,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,1,2,0,0,369,0,0,0,11.58,0,0,0,0,0,0,0,0,0
1979,10,1,3,381.64,0,256.95,0,3.05,0,8.06,0,0,0,0,0,0,0,0,0
1979,10,1,4,132.55,0,8.12,0,1.06,0,0.25,0,0,0,0,0,0,0,0,0
1979,10,1,5,0,0,0.25,0,0,0,0.01,0,0,0,0,0,0,0,0,0
1979,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,4,2,0,0,115.4,0,0,0,7.69,0,0,0,0,0,0,0,0,0
1979,10,4,3,254.43,0,71.79,0,4.33,0,4.79,0,0,0,0,0,0,0,0,0
1979,10,4,4,198.83,0,8.97,0,3.38,0,0.6,0,0,0,0,0,0,0,0,0
1979,10,4,5,0,0,0.2,0,0,0,0.01,0,0,0,0,0,0,0,0,0
1979,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,10,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,1,2,0,0,4523.48,0,0,0,141.91,0,0,0,0,0,0,0,0,0
1979,11,1,3,764.86,0,3762.48,0,6.12,0,118.04,0,0,0,0,0,0,0,0,0
1979,11,1,4,599.79,0,69.41,0,4.8,0,2.18,0,0,0,0,0,0,0,0,0
1979,11,1,5,0,0,2.74,0,0,0,0.09,0,0,0,0,0,0,0,0,0
1979,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,11,4,2,0,0,1414.63,0,0,0,94.31,0,0,0,0,0,0,0,0,0
1979,11,4,3,7591.6,0,1051.25,0,129.06,0,70.08,0,0,0,0,0,0,0,0,0
1979,11,4,4,2319.38,0,76.67,0,39.43,0,5.11,0,0,0,0,0,0,0,0,0
